T[307]: -0.000016, 0.000357 i
T[308]: -0.000018, 0.000360 i
T[309]: -0.000020, 0.000364 i
T[310]: -0.000022, 0.000368 i
T[311]: -0.000024, 0.000372 i
T[312]: -0.000026, 0.000376 i
T[313]: -0.000028, 0.000381 i
T[314]: -0.000031, 0.000387 i
T[315]: -0.000033, 0.000393 i
T[316]: -0.000036, 0.000399 i
T[317]: -0.000039, 0.000406 i
T[318]: -0.000042, 0.000413 i
T[319]: -0.000046, 0.000420 i
T[320]: -0.000050, 0.000429 i
T[321]: -0.000054, 0.000438 i
T[322]: -0.000059, 0.000447 i
T[323]: -0.000064, 0.000457 i
T[324]: -0.000069, 0.000468 i
T[325]: -0.000075, 0.000480 i
T[326]: -0.000082, 0.000493 i
T[327]: -0.000089, 0.000507 i
T[328]: -0.000098, 0.000521 i
T[329]: -0.000107, 0.000537 i
T[330]: -0.000117, 0.000554 i
T[331]: -0.000129, 0.000572 i
T[332]: -0.000142, 0.000592 i
T[333]: -0.000157, 0.000614 i
T[334]: -0.000174, 0.000637 i
T[335]: -0.000194, 0.000662 i
T[336]: -0.000217, 0.000688 i
T[337]: -0.000244, 0.000717 i
T[338]: -0.000274, 0.000748 i
T[339]: -0.000311, 0.000782 i
T[340]: -0.000354, 0.000817 i
T[341]: -0.000405, 0.000854 i
T[342]: -0.000466, 0.000893 i
T[343]: -0.000539, 0.000931 i
T[344]: -0.000627, 0.000968 i
T[345]: -0.000733, 0.000999 i
T[346]: -0.000860, 0.001021 i
T[347]: -0.001010, 0.001025 i
T[348]: -0.001184, 0.001001 i
T[349]: -0.001377, 0.000936 i
T[350]: -0.001577, 0.000814 i
T[351]: -0.001760, 0.000625 i
T[352]: -0.001896, 0.000372 i
T[353]: -0.001954, 0.000077 i
T[354]: -0.001921, -0.000222 i
T[355]: -0.001807, -0.000486 i
T[356]: -0.001639, -0.000691 i
T[357]: -0.001449, -0.000830 i
T[358]: -0.001260, -0.000912 i
T[359]: -0.001087, -0.000950 i
T[360]: -0.000935, -0.000958 i
T[361]: -0.000806, -0.000946 i
T[362]: -0.000697, -0.000922 i
T[363]: -0.000605, -0.000892 i
T[364]: -0.000528, -0.000859 i
T[365]: -0.000464, -0.000825 i
T[366]: -0.000410, -0.000791 i
T[367]: -0.000364, -0.000759 i
T[368]: -0.000325, -0.000728 i
T[369]: -0.000291, -0.000699 i
T[370]: -0.000262, -0.000672 i
T[371]: -0.000237, -0.000646 i
T[372]: -0.000215, -0.000623 i
T[373]: -0.000196, -0.000601 i
T[374]: -0.000179, -0.000580 i
T[375]: -0.000164, -0.000561 i
T[376]: -0.000151, -0.000544 i
T[377]: -0.000139, -0.000527 i
T[378]: -0.000128, -0.000512 i
T[379]: -0.000119, -0.000498 i
T[380]: -0.000110, -0.000485 i
T[381]: -0.000102, -0.000473 i
T[382]: -0.000095, -0.000461 i
T[383]: -0.000088, -0.000451 i
T[384]: -0.000082, -0.000441 i
T[385]: -0.000077, -0.000431 i
T[386]: -0.000072, -0.000423 i
T[387]: -0.000067, -0.000415 i
T[388]: -0.000062, -0.000407 i
T[389]: -0.000058, -0.000400 i
T[390]: -0.000054, -0.000393 i
T[391]: -0.000051, -0.000387 i
T[392]: -0.000047, -0.000382 i
T[393]: -0.000044, -0.000376 i
T[394]: -0.000041, -0.000371 i
T[395]: -0.000038, -0.000367 i
T[396]: -0.000035, -0.000363 i
T[397]: -0.000033, -0.000359 i
T[398]: -0.000030, -0.000355 i
T[399]: -0.000028, -0.000352 i
T[400]: -0.000025, -0.000349 i
T[401]: -0.000023, -0.000346 i
T[402]: -0.000021, -0.000343 i
T[403]: -0.000019, -0.000341 i
T[404]: -0.000016, -0.000339 i
T[405]: -0.000014, -0.000337 i
T[406]: -0.000012, -0.000336 i
T[407]: -0.000010, -0.000335 i
T[408]: -0.000008, -0.000334 i
T[409]: -0.000006, -0.000333 i
T[410]: -0.000004, -0.000332 i
T[411]: -0.000002, -0.000332 i
T[412]: -0.000000, -0.000331 i
T[413]: 0.000002, -0.000331 i
T[414]: 0.000004, -0.000332 i
T[415]: 0.000006, -0.000332 i
T[416]: 0.000008, -0.000333 i
T[417]: 0.000010, -0.000334 i
T[418]: 0.000012, -0.000335 i
T[419]: 0.000015, -0.000336 i
T[420]: 0.000017, -0.000337 i
T[421]: 0.000019, -0.000339 i
T[422]: 0.000022, -0.000341 i
T[423]: 0.000024, -0.000343 i
T[424]: 0.000027, -0.000346 i
T[425]: 0.000030, -0.000348 i
T[426]: 0.000033, -0.000351 i
T[427]: 0.000036, -0.000354 i
T[428]: 0.000039, -0.000358 i
T[429]: 0.000043, -0.000361 i
T[430]: 0.000047, -0.000365 i
T[431]: 0.000050, -0.000370 i
T[432]: 0.000055, -0.000374 i
T[433]: 0.000059, -0.000379 i
T[434]: 0.000064, -0.000384 i
T[435]: 0.000069, -0.000390 i
T[436]: 0.000074, -0.000396 i
T[437]: 0.000080, -0.000402 i
T[438]: 0.000086, -0.000409 i
T[439]: 0.000093, -0.000416 i
T[440]: 0.000100, -0.000423 i
T[441]: 0.000108, -0.000431 i
T[442]: 0.000117, -0.000440 i
T[443]: 0.000126, -0.000448 i
T[444]: 0.000136, -0.000458 i
T[445]: 0.000147, -0.000467 i
T[446]: 0.000160, -0.000477 i
T[447]: 0.000173, -0.000488 i
T[448]: 0.000188, -0.000499 i
T[449]: 0.000204, -0.000510 i
T[450]: 0.000223, -0.000522 i
T[451]: 0.000243, -0.000534 i
T[452]: 0.000265, -0.000546 i
T[453]: 0.000290, -0.000558 i
T[454]: 0.000318, -0.000570 i
T[455]: 0.000349, -0.000581 i
T[456]: 0.000383, -0.000592 i
T[457]: 0.000422, -0.000601 i
T[458]: 0.000464, -0.000607 i
T[459]: 0.000511, -0.000611 i
T[460]: 0.000563, -0.000611 i
T[461]: 0.000619, -0.000606 i
T[462]: 0.000680, -0.000594 i
T[463]: 0.000745, -0.000573 i
T[464]: 0.000812, -0.000543 i
T[465]: 0.000880, -0.000501 i
T[466]: 0.000945, -0.000445 i
T[467]: 0.001005, -0.000377 i
T[468]: 0.001056, -0.000296 i
T[469]: 0.001094, -0.000203 i
T[470]: 0.001117, -0.000103 i
T[471]: 0.001121, -0.000001 i
T[472]: 0.001108, 0.000101 i
T[473]: 0.001078, 0.000196 i
T[474]: 0.001034, 0.000282 i
T[475]: 0.000980, 0.000356 i
T[476]: 0.000920, 0.000416 i
T[477]: 0.000856, 0.000465 i
T[478]: 0.000791, 0.000501 i
T[479]: 0.000729, 0.000527 i
T[480]: 0.000669, 0.000545 i
T[481]: 0.000613, 0.000555 i
T[482]: 0.000561, 0.000560 i
T[483]: 0.000514, 0.000560 i
T[484]: 0.000470, 0.000557 i
T[485]: 0.000431, 0.000552 i
T[486]: 0.000395, 0.000544 i
T[487]: 0.000363, 0.000536 i
T[488]: 0.000334, 0.000527 i
T[489]: 0.000308, 0.000517 i
T[490]: 0.000284, 0.000507 i
T[491]: 0.000263, 0.000496 i
T[492]: 0.000243, 0.000486 i
T[493]: 0.000226, 0.000476 i
T[494]: 0.000210, 0.000467 i
T[495]: 0.000195, 0.000457 i
T[496]: 0.000181, 0.000448 i
T[497]: 0.000169, 0.000440 i
T[498]: 0.000158, 0.000431 i
T[499]: 0.000147, 0.000423 i
T[500]: 0.000137, 0.000416 i
T[501]: 0.000128, 0.000408 i
T[502]: 0.000120, 0.000401 i
T[503]: 0.000112, 0.000395 i
T[504]: 0.000105, 0.000389 i
T[505]: 0.000098, 0.000383 i
T[506]: 0.000092, 0.000377 i
T[507]: 0.000086, 0.000372 i
T[508]: 0.000081, 0.000367 i
T[509]: 0.000075, 0.000362 i
T[510]: 0.000070, 0.000358 i
T[511]: 0.000065, 0.000354 i
T[512]: 0.000061, 0.000350 i
T[513]: 0.000065, -0.000354 i
T[514]: 0.000070, -0.000358 i
T[515]: 0.000075, -0.000362 i
T[516]: 0.000081, -0.000367 i
T[517]: 0.000086, -0.000372 i
T[518]: 0.000092, -0.000377 i
T[519]: 0.000098, -0.000383 i
T[520]: 0.000105, -0.000389 i
T[521]: 0.000112, -0.000395 i
T[522]: 0.000120, -0.000401 i
T[523]: 0.000128, -0.000408 i
T[524]: 0.000137, -0.000416 i
T[525]: 0.000147, -0.000423 i
T[526]: 0.000158, -0.000431 i
T[527]: 0.000169, -0.000440 i
T[528]: 0.000181, -0.000448 i
T[529]: 0.000195, -0.000457 i
T[530]: 0.000210, -0.000467 i
T[531]: 0.000226, -0.000476 i
T[532]: 0.000243, -0.000486 i
T[533]: 0.000263, -0.000496 i
T[534]: 0.000284, -0.000507 i
T[535]: 0.000308, -0.000517 i
T[536]: 0.000334, -0.000527 i
T[537]: 0.000363, -0.000536 i
T[538]: 0.000395, -0.000544 i
T[539]: 0.000431, -0.000552 i
T[540]: 0.000470, -0.000557 i
T[541]: 0.000514, -0.000560 i
T[542]: 0.000561, -0.000560 i
T[543]: 0.000613, -0.000555 i
T[544]: 0.000669, -0.000545 i
T[545]: 0.000729, -0.000527 i
T[546]: 0.000791, -0.000501 i
T[547]: 0.000856, -0.000465 i
T[548]: 0.000920, -0.000416 i
T[549]: 0.000980, -0.000356 i
T[550]: 0.001034, -0.000282 i
T[551]: 0.001078, -0.000196 i
T[552]: 0.001108, -0.000101 i
T[553]: 0.001121, 0.000001 i
T[554]: 0.001117, 0.000103 i
T[555]: 0.001094, 0.000203 i
T[556]: 0.001056, 0.000296 i
T[557]: 0.001005, 0.000377 i
T[558]: 0.000945, 0.000445 i
T[559]: 0.000880, 0.000501 i
T[560]: 0.000812, 0.000543 i
T[561]: 0.000745, 0.000573 i
T[562]: 0.000680, 0.000594 i
T[563]: 0.000619, 0.000606 i
T[564]: 0.000563, 0.000611 i
T[565]: 0.000511, 0.000611 i
T[566]: 0.000464, 0.000607 i
T[567]: 0.000422, 0.000601 i
T[568]: 0.000383, 0.000592 i
T[569]: 0.000349, 0.000581 i
T[570]: 0.000318, 0.000570 i
T[571]: 0.000290, 0.000558 i
T[572]: 0.000265, 0.000546 i
T[573]: 0.000243, 0.000534 i
T[574]: 0.000223, 0.000522 i
T[575]: 0.000204, 0.000510 i
T[576]: 0.000188, 0.000499 i
T[577]: 0.000173, 0.000488 i
T[578]: 0.000160, 0.000477 i
T[579]: 0.000147, 0.000467 i
T[580]: 0.000136, 0.000458 i
T[581]: 0.000126, 0.000448 i
T[582]: 0.000117, 0.000440 i
T[583]: 0.000108, 0.000431 i
T[584]: 0.000100, 0.000423 i
T[585]: 0.000093, 0.000416 i
T[586]: 0.000086, 0.000409 i
T[587]: 0.000080, 0.000402 i
T[588]: 0.000074, 0.000396 i
T[589]: 0.000069, 0.000390 i
T[590]: 0.000064, 0.000384 i
T[591]: 0.000059, 0.000379 i
T[592]: 0.000055, 0.000374 i
T[593]: 0.000050, 0.000370 i
T[594]: 0.000047, 0.000365 i
T[595]: 0.000043, 0.000361 i
T[596]: 0.000039, 0.000358 i
T[597]: 0.000036, 0.000354 i
T[598]: 0.000033, 0.000351 i
T[599]: 0.000030, 0.000348 i
T[600]: 0.000027, 0.000346 i
T[601]: 0.000024, 0.000343 i
T[602]: 0.000022, 0.000341 i
T[603]: 0.000019, 0.000339 i
T[604]: 0.000017, 0.000337 i
T[605]: 0.000015, 0.000336 i
T[606]: 0.000012, 0.000335 i
T[607]: 0.000010, 0.000334 i
T[608]: 0.000008, 0.000333 i
T[609]: 0.000006, 0.000332 i
T[610]: 0.000004, 0.000332 i
T[611]: 0.000002, 0.000331 i
T[612]: -0.000000, 0.000331 i
T[613]: -0.000002, 0.000332 i
T[614]: -0.000004, 0.000332 i
T[615]: -0.000006, 0.000333 i
T[616]: -0.000008, 0.000334 i
T[617]: -0.000010, 0.000335 i
T[618]: -0.000012, 0.000336 i
T[619]: -0.000014, 0.000337 i
T[620]: -0.000016, 0.000339 i
T[621]: -0.000019, 0.000341 i
T[622]: -0.000021, 0.000343 i
T[623]: -0.000023, 0.000346 i
T[624]: -0.000025, 0.000349 i
T[625]: -0.000028, 0.000352 i
T[626]: -0.000030, 0.000355 i
T[627]: -0.000033, 0.000359 i
T[628]: -0.000035, 0.000363 i
T[629]: -0.000038, 0.000367 i
T[630]: -0.000041, 0.000371 i
T[631]: -0.000044, 0.000376 i
T[632]: -0.000047, 0.000382 i
T[633]: -0.000051, 0.000387 i
T[634]: -0.000054, 0.000393 i
T[635]: -0.000058, 0.000400 i
T[636]: -0.000062, 0.000407 i
T[637]: -0.000067, 0.000415 i
T[638]: -0.000072, 0.000423 i
T[639]: -0.000077, 0.000431 i
T[640]: -0.000082, 0.000441 i
T[641]: -0.000088, 0.000451 i
T[642]: -0.000095, 0.000461 i
T[643]: -0.000102, 0.000473 i
T[644]: -0.000110, 0.000485 i
T[645]: -0.000119, 0.000498 i
T[646]: -0.000128, 0.000512 i
T[647]: -0.000139, 0.000527 i
T[648]: -0.000151, 0.000544 i
T[649]: -0.000164, 0.000561 i
T[650]: -0.000179, 0.000580 i
T[651]: -0.000196, 0.000601 i
T[652]: -0.000215, 0.000623 i
T[653]: -0.000237, 0.000646 i
T[654]: -0.000262, 0.000672 i
T[655]: -0.000291, 0.000699 i
T[656]: -0.000325, 0.000728 i
T[657]: -0.000364, 0.000759 i
T[658]: -0.000410, 0.000791 i
T[659]: -0.000464, 0.000825 i
T[660]: -0.000528, 0.000859 i
T[661]: -0.000605, 0.000892 i
T[662]: -0.000697, 0.000922 i
T[663]: -0.000806, 0.000946 i
T[664]: -0.000935, 0.000958 i
T[665]: -0.001087, 0.000950 i
T[666]: -0.001260, 0.000912 i
T[667]: -0.001449, 0.000830 i
T[668]: -0.001639, 0.000691 i
T[669]: -0.001807, 0.000486 i
T[670]: -0.001921, 0.000222 i
T[671]: -0.001954, -0.000077 i
T[672]: -0.001896, -0.000372 i
T[673]: -0.001760, -0.000625 i
T[674]: -0.001577, -0.000814 i
T[675]: -0.001377, -0.000936 i
